tld,usage
ac,academic
academy,education
accountant,professional
accountants,professional
actor,professional
ad,advertising
adult,adult
ae.org,organization
africa,geographic
agency,business
ai,tech
airforce,military
apartments,realestate
app,application
archi,professional
army,military
art,creative
asia,geographic
associates,business
attorney,legal
auction,commerce
audio,media
auto,automotive
autos,automotive
baby,personal
band,music
bar,hospitality
bargains,commerce
beauty,lifestyle
beer,beverage
berlin,geographic
best,general
bet,gambling
bid,commerce
bike,recreation
bingo,gambling
bio,personal
biz,business
bizdev,business
black,community
blackfriday,commerce
blog,publishing
blue,general
boats,recreation
bond,finance
boo,general
boston,geographic
bot,tech
boutique,commerce
br.com,business
broker,finance
build,construction
builders,construction
business,business
buyaflat,realestate
buzz,social
bz,business
ca,geographic
cab,transport
cafe,hospitality
cam,tech
camera,photography
camp,community
capital,finance
car,automotive
cards,commerce
care,health
careers,employment
cars,automotive
casa,realestate
cash,finance
casino,gambling
catering,hospitality
cc,commercial
center,community
ceo,business
cfd,finance
ch,geographic
channel,media
charity,nonprofit
chat,communication
cheap,commerce
christmas,holiday
church,religious
city,geographic
claims,legal
cleaning,service
click,marketing
clinic,health
clothing,commerce
cloud,tech
club,community
cm,geographic
cn,geographic
cn.com,business
co,business
co.bz,business
co.com,business
co.im,business
co.in,business
co.uk,business
coach,professional
codes,tech
coffee,beverage
college,education
com,commercial
com.au,business
com.cn,business
com.co,business
com.de,business
com.es,business
com.im,business
com.mx,business
com.pe,business
com.ph,business
com.se,business
com.sg,business
com.vc,business
community,community
company,business
computer,tech
condos,realestate
construction,construction
consulting,business
contact,communication
contractors,service
cooking,lifestyle
cool,general
country,geographic
coupons,commerce
courses,education
credit,finance
creditcard,finance
cricket,sport
cruises,travel
cx,customerexperience
cymru,geographic
cyou,general
d5,tech
dad,personal
dance,arts
date,social
dating,social
day,event
dco,unknown
de,geographic
de.com,business
deal,commerce
dealer,commerce
deals,commerce
degree,education
delivery,logistics
democrat,political
dental,health
dentist,health
desi,community
design,creative
dev,tech
diamonds,luxury
diet,health
digital,tech
direct,business
directory,information
discount,commerce
diy,hobbies
doctor,health
dog,pets
domains,tech
download,media
earth,environmental
eco,environmental
education,education
email,communication
energy,industry
engineer,professional
engineering,professional
enterprises,business
equipment,commerce
es,geographic
esq,legal
estate,realestate
eu,geographic
eu.com,business
events,event
exchange,finance
executive,business
expert,professional
exposed,general
express,logistics
fail,humor
faith,religious
family,personal
fan,community
fans,community
farm,agriculture
fashion,commerce
feedback,communication
film,media
finance,finance
financial,finance
fish,recreation
fishing,recreation
fit,fitness
fitness,fitness
flap,unknown
flights,travel
florist,commerce
flowers,commerce
fm,media
foo,tech
food,food
football,sport
forex,finance
forsale,commerce
forum,community
foundation,nonprofit
fr,geographic
fun,entertainment
fund,finance
furniture,commerce
futbol,sport
fyi,information
gallery,arts
game,gaming
games,gaming
garden,hobbies
gay,community
gb.net,network
gdn,general
gg,gaming
gift,commerce
gifts,commerce
gives,charity
giving,charity
glass,commerce
global,business
gmbh,business
gold,finance
golf,sport
gr.com,business
graphics,creative
gratis,general
green,environmental
gripe,complaint
group,community
guide,information
guitars,music
guru,professional
hair,beauty
hamburg,geographic
haus,realestate
health,health
healthcare,health
help,support
hgo,unknown
hiphop,music
hockey,sport
holdings,business
holiday,event
homes,realestate
horse,animals
hospital,health
host,tech
hosting,tech
house,realestate
how,information
hu.net,network
icu,general
id,geographic
im,geographic
immo,realestate
immobilien,realestate
in,geographic
in.net,network
inc,business
industries,business
info,information
ing,general
ink,creative
institute,education
insure,insurance
international,business
investments,finance
io,tech
irish,cultural
is,geographic
it.com,business
jetzt,general
jewelry,commerce
jf,unknown
jp.net,network
jpn.com,business
juegos,gaming
kaufen,commerce
kids,family
kim,general
kitchen,food
kiwi,geographic
kj,unknown
krd,geographic
kyoto,geographic
la,geographic
land,realestate
lat,cultural
law,legal
lawyer,legal
lease,finance
legal,legal
lgbt,community
li,geographic
life,lifestyle
lifestyle,lifestyle
lighting,commerce
limited,business
limo,transport
link,tech
live,media
living,lifestyle
llc,business
loan,finance
loans,finance
locker,storage
lol,humor
london,geographic
love,personal
ltd,business
ltda,business
luxury,commerce
maison,realestate
makeup,beauty
management,business
market,commerce
marketing,business
markets,finance
mba,education
me,personal
me.uk,personal
media,media
melbourne,geographic
meme,culture
memorial,commemoration
men,community
menu,food
mex.com,business
miami,geographic
mobi,mobile
moda,fashion
moe,culture
mom,personal
money,finance
monster,general
mortgage,finance
motorcycles,automotive
mov,general
movie,media
music,music
mwallet,finance
mx,geographic
my,geographic
nagoya,geographic
name,personal
navy,military
net,network
net.au,network
net.cn,network
net.im,network
net.pe,network
net.ph,network
net.vc,network
network,network
new,general
news,media
nexus,tech
ngo,nonprofit
ninja,tech
nl,geographic
nom.es,personal
now,general
nu,geographic
nyc,geographic
observer,media
oflinewallet,finance
okinawa,geographic
one,general
ong,nonprofit
onl,online
online,online
org,organization
org.au,organization
org.cn,organization
org.es,organization
org.im,organization
org.mx,organization
org.pe,organization
org.ph,organization
org.uk,organization
org.vc,organization
osaka,geographic
page,web
paris,geographic
partners,business
parts,commerce
party,event
pe,geographic
pet,pets
ph,geographic
phd,education
photo,photography
photography,photography
photos,photography
pics,photography
pictures,photography
pink,general
pizza,food
place,geographic
plumbing,service
plus,general
poker,gambling
porn,adult
press,media
pro,professional
prodazha,commerce
productions,business
prof,professional
promo,marketing
properties,realestate
property,realestate
protection,security
pub,hospitality
pw,professional
quest,information
racing,sport
realty,realestate
recipes,food
red,general
rehab,health
reise,travel
reisen,travel
rent,commerce
rentals,commerce
repair,service
report,information
republican,political
rest,hospitality
restaurant,hospitality
review,information
reviews,information
rip,commemoration
rocks,general
rodeo,event
rsvp,event
ru.com,business
run,sport
ryukyu,geographic
sa.com,business
sale,commerce
salon,beauty
sarl,business
sats,tech
sbs,general
school,education
schule,education
science,education
se.net,network
security,security
services,service
sex,adult
sexy,adult
sg,geographic
sh,geographic
shiksha,education
shizzle,unknown
shoes,commerce
shop,commerce
shopping,commerce
show,media
simp,unknown
singles,social
site,web
ski,sport
skin,beauty
so,geographic
soccer,sport
social,social
software,tech
solar,energy
solutions,business
soy,general
space,tech
storage,storage
store,commerce
stream,media
studio,creative
study,education
style,lifestyle
substack,brand
sucks,complaint
supplies,commerce
supply,commerce
support,support
supreme,general
surf,sport
surgery,health
sydney,geographic
systems,tech
tattoo,art
tax,finance
taxi,transport
team,community
tech,tech
tech,tech
tel,communication
tennis,sport
theater,arts
theatre,arts
tickets,commerce
tienda,commerce
tips,information
tires,automotive
to,geographic
today,timely
tokyo,geographic
tools,tech
top,general
tours,travel
town,geographic
toys,commerce
trade,commerce
trading,finance
training,education
travel,travel
tube,media
tv,media
u2,unknown
uk,geographic
uk.com,business
uk.net,network
university,education
uno,general
us,geographic
us.com,business
us.org,organization
vacations,travel
vana,unknown
vc,venturecapital
vegas,entertainment
ventures,business
vet,health
viajes,travel
video,media
villas,realestate
vin,automotive
vip,exclusive
vision,business
vodka,beverage
voice,communication
vote,political
voting,political
voto,political
voyage,travel
w3n,tech
wales,geographic
watch,commerce
webcam,tech
website,web
wedding,event
wiki,information
win,gaming
wine,beverage
work,employment
works,business
world,general
ws,web
wtf,humor
xg,unknown
xn--3ds443g,internationalized
xn--6frz82g,internationalized
xq,unknown
xxx,adult
xyz,general
yachts,luxury
yoga,health
yokohama,geographic
za.com,business
zip,general
zone,general
