tld,potential_uses
ac,"ascension,island,academic,education,short,country"
academy,"education,learning,courses,training,research,academic,society"
accountant,"accounting,finance,cpa,tax,bookkeeping,financial,advisor"
accountants,"accounting,finance,cpa,tax,firms,professional,services"
actor,"acting,performer,theatre,film,talent,stage,drama"
ad,"advertising,marketing,andorra,classifieds,promo,short,country"
ae.org,"uae,emirates,nonprofit,charity,organization,community,country"
africa,"african,continent,business,travel,culture,safari,development"
agency,"marketing,talent,realestate,travel,recruitment,advertising,consulting"
ai,"artificialintelligence,tech,robotics,machinelearning,anguilla,innovation,short,country"
airforce,"military,aviation,defense,aerospace,veterans,recruitment"
apartments,"housing,rentals,realestate,flats,leasing,property,living"
app,"application,software,mobile,developer,download,tech,utility"
archi,"architecture,design,building,construction,urban,planning"
army,"military,defense,soldiers,veterans,groundforce,recruitment"
art,"gallery,artist,creative,design,painting,sculpture,exhibition"
asia,"asian,continent,business,travel,culture,trade,regional"
associates,"partners,consulting,firm,professional,group,collaboration"
attorney,"lawyer,legal,lawfirm,counsel,litigation,justice,bar"
auction,"bidding,sale,online,collector,antiques,livestock,charity"
audio,"sound,music,podcast,streaming,recording,voice,hifi"
auto,"automotive,cars,vehicles,dealership,repair,parts,transport"
autos,"automotive,cars,vehicles,sales,reviews,parts,mechanic"
baby,"infant,parenting,newborn,childcare,products,nursery,family"
band,"music,group,musicians,concerts,rock,pop,jazz"
bar,"drinks,pub,lounge,nightlife,cocktails,spirits,social"
bargains,"discounts,deals,sales,cheap,savings,coupons,offers"
beauty,"cosmetics,salon,spa,makeup,skincare,hair,style"
beer,"brewery,craftbeer,ale,lager,pub,drinks,hops"
berlin,"germany,city,europe,travel,local,business,culture"
best,"reviews,top,quality,ratings,comparison,awards,leader"
bet,"gambling,wagering,sports,odds,casino,online,gaming"
bid,"auction,tenders,proposals,online,offers,procurement,price"
bike,"bicycle,cycling,mountain,road,transport,sports,exercise"
bingo,"gaming,gambling,online,hall,numbers,luck,social"
bio,"biology,biotechnology,life,science,organic,nature,personal"
biz,"business,commerce,company,enterprise,trade,startup,short"
bizdev,"businessdevelopment,sales,growth,strategy,leads,marketing"
black,"culture,community,heritage,identity,business,art,friday"
blackfriday,"sales,discounts,deals,shopping,holiday,retail,offers"
blog,"writing,journal,personal,posts,articles,content,online"
blue,"color,ocean,sky,sad,corporate,artistic,calm"
boats,"marine,sailing,yacht,fishing,marina,vessel,nautical"
bond,"finance,investment,james,007,bail,fixedincome,securities"
boo,"fun,surprise,halloween,entertainment,ghost,scare,playful"
boston,"massachusetts,city,usa,history,education,sports,local"
bot,"robot,ai,automation,chatbot,software,tech,assistant"
boutique,"fashion,shop,style,luxury,designer,niche,retail"
br.com,"brazil,brasil,commerce,business,southamerica,web,country"
broker,"realestate,stocks,insurance,finance,agent,trader,intermediary"
build,"construction,develop,create,make,software,diy,projects"
builders,"construction,contractors,homes,development,property,trade"
business,"commerce,company,corporate,enterprise,trade,finance,industry"
buyaflat,"realestate,property,apartment,housing,purchase,home"
buzz,"news,viral,trends,social,media,marketing,hype"
bz,"belize,business,commerce,caribbean,short,country"
ca,"canada,canadian,northamerica,maple,ottawa,short,country"
cab,"taxi,transport,ride,vehicle,driver,service,short"
cafe,"coffee,food,restaurant,bistro,internet,social,drinks"
cam,"camera,webcam,live,stream,video,security,photo,short"
camera,"photo,video,photography,equipment,lens,digital,film"
camp,"outdoor,summer,kids,tents,nature,recreation,adventure"
capital,"finance,investment,money,city,government,venture,funds"
car,"automotive,vehicle,transport,drive,auto,sedan,suv"
cards,"greeting,credit,playing,business,trading,gift,invitations"
care,"health,medical,support,service,childcare,elderly,customer"
careers,"jobs,employment,work,hiring,profession,resume,recruitment"
cars,"automotive,vehicles,transport,drive,auto,dealership,electric"
casa,"home,house,realestate,spanish,italian,decor,living"
cash,"money,finance,payment,currency,loans,atm,digital"
casino,"gambling,gaming,betting,slots,poker,roulette,lasvegas"
catering,"food,events,party,service,chef,banquet,corporate"
cc,"cocos,keeling,islands,creative,commons,club,community,short,country"
center,"community,shopping,research,conference,hub,core,middle"
ceo,"executive,leader,business,corporate,management,company,chief"
cfd,"trading,finance,contracts,forex,markets,broker,investment"
ch,"switzerland,swiss,europe,alps,zurich,geneva,short,country"
channel,"tv,media,youtube,streaming,broadcast,content,communication"
charity,"nonprofit,giving,donations,philanthropy,volunteer,cause,aid"
chat,"communication,messaging,online,social,support,live,instant"
cheap,"discount,budget,lowcost,affordable,savings,value,deals"
christmas,"holiday,xmas,festive,santa,gifts,winter,celebration"
church,"religion,faith,worship,community,christian,spiritual,god"
city,"urban,municipal,local,town,metropolis,government,public"
claims,"insurance,legal,disputes,compensation,warranty,rights,financial"
cleaning,"services,hygiene,janitorial,domestic,commercial,tidy,pure"
click,"online,web,mouse,link,advertising,digital,action"
clinic,"medical,health,doctor,dental,therapy,wellness,specialist"
clothing,"fashion,apparel,style,garments,wear,textiles,retail"
cloud,"computing,storage,saas,data,online,network,technology"
club,"social,group,members,nightlife,sports,association,community"
cm,"cameroon,africa,centimeter,measure,short,country"
cn,"china,chinese,asia,beijing,shanghai,greatwall,short,country"
cn.com,"china,commerce,business,asia,trade,market,country"
co,"company,commerce,community,business,corporate,global,short"
co.bz,"belize,company,business,commerce,caribbean,country"
co.com,"company,commerce,global,business,international,web"
co.im,"isleofman,company,business,commerce,europe,country"
co.in,"india,company,business,commerce,asia,trade,country"
co.uk,"uk,unitedkingdom,company,business,commerce,britain,country"
coach,"training,mentor,sports,life,business,guidance,instructor"
codes,"programming,software,discount,coupons,cipher,data,script"
coffee,"cafe,beans,espresso,barista,drinks,morning,roast"
college,"education,university,student,academic,degree,learning,campus"
com,"commercial,business,global,company,web,internet,online"
com.au,"australia,commerce,business,downunder,sydney,melbourne,country"
com.cn,"china,commerce,business,asia,market,trade,country"
com.co,"colombia,commerce,business,southamerica,bogota,country"
com.de,"germany,commerce,business,europe,berlin,deutschland,country"
com.es,"spain,commerce,business,europe,madrid,espana,country"
com.im,"isleofman,commerce,business,europe,finance,country"
com.mx,"mexico,commerce,business,northamerica,mexicocity,country"
com.pe,"peru,commerce,business,southamerica,lima,country"
com.ph,"philippines,commerce,business,asia,manila,country"
com.se,"sweden,commerce,business,europe,stockholm,scandinavia,country"
com.sg,"singapore,commerce,business,asia,lioncity,country"
com.vc,"stvincent,grenadines,commerce,business,caribbean,country"
community,"group,social,local,nonprofit,forum,network,people"
company,"business,corporate,enterprise,firm,organization,commerce"
computer,"pc,tech,hardware,software,it,digital,network"
condos,"realestate,property,housing,apartment,residential,luxury,urban"
construction,"building,contractor,development,architecture,homes,industry"
consulting,"advice,expert,business,services,strategy,management,professional"
contact,"information,address,phone,email,support,reach,connect"
contractors,"building,trades,services,construction,homeimprovement,repair"
cooking,"food,recipes,chef,kitchen,cuisine,baking,meals"
cool,"trendy,hip,style,fun,awesome,innovative,modern"
country,"nation,rural,music,land,culture,geography,flag"
coupons,"discounts,deals,savings,promo,offers,vouchers,codes"
courses,"education,learning,training,online,academic,study,skills"
credit,"finance,loans,cards,score,debt,borrow,rating"
creditcard,"finance,payment,visa,mastercard,amex,rewards,plastic"
cricket,"sports,game,bat,ball,india,england,australia"
cruises,"travel,vacation,ship,ocean,sea,holiday,luxury"
cx,"customerexperience,feedback,service,christmasisland,short,country"
cymru,"wales,welsh,uk,cardiff,britain,celtic,culture,country"
cyou,"seeyou,personal,social,fun,friends,online,connect"
d5,"design,develop,digital,data,domain,short,tech,creative"
dad,"father,parenting,family,papa,men,children,support,short"
dance,"music,movement,ballet,hiphop,studio,choreography,rhythm"
date,"dating,romance,relationships,calendar,events,schedule,love"
dating,"relationships,love,singles,online,match,romance,partner"
day,"daily,today,events,time,schedule,calendar,news,short"
dco,"digital,company,online,tech,business,short,corp"
de,"germany,deutschland,europe,berlin,german,eu,short,country"
de.com,"germany,commerce,business,europe,deutschland,market,country"
deal,"offers,bargains,discounts,sales,agreement,negotiation,business"
dealer,"cars,sales,retail,agent,supplier,merchant,authorized"
deals,"discounts,bargains,offers,sales,savings,coupons,promotions"
degree,"education,academic,university,qualification,masters,phd,bachelors"
delivery,"shipping,food,logistics,transport,courier,service,online"
democrat,"politics,party,usa,liberal,election,government,blue"
dental,"dentist,teeth,oral,health,hygiene,smile,clinic"
dentist,"dental,teeth,oral,health,clinic,doctor,smile"
desi,"india,pakistan,bangladesh,southasian,culture,community,food"
design,"art,creative,graphics,web,interior,fashion,style"
dev,"developer,software,coding,programming,web,tech,build,short"
diamonds,"jewelry,gems,luxury,engagement,rings,precious,stones"
diet,"health,nutrition,weightloss,food,fitness,healthy,plan"
digital,"online,tech,media,marketing,internet,data,electronic"
direct,"contact,sales,communication,service,immediate,route"
directory,"listings,index,database,business,phone,resources,guide"
discount,"sales,offers,savings,cheap,deals,coupons,bargains"
diy,"doityourself,crafts,homeimprovement,projects,build,create,short"
doctor,"medical,health,physician,clinic,hospital,md,care"
dog,"pets,canine,animals,puppy,veterinarian,breeds,training,short"
domains,"web,internet,hosting,registrar,address,url,online"
download,"software,files,music,apps,media,digital,free"
earth,"planet,global,environment,nature,eco,world,sustainability"
eco,"environment,green,sustainable,nature,organic,earth,friendly"
education,"learning,school,university,teaching,study,knowledge,academic"
email,"communication,messaging,online,mail,contact,digital,correspondence"
energy,"power,solar,renewable,electricity,oil,gas,fuel"
engineer,"tech,science,building,mechanical,electrical,civil,design"
engineering,"science,technology,design,construction,innovation,mechanical,electrical"
enterprises,"business,corporate,company,large,organization,global,industry"
equipment,"tools,gear,machinery,hardware,supplies,industrial,rental"
es,"spain,espana,europe,madrid,spanish,iberia,short,country"
esq,"lawyer,attorney,legal,counsel,esquire,bar,professional"
estate,"realestate,property,land,homes,housing,wealth,inheritance"
